code,name,close,ma5,pct_above
000528,柳工,8.16,7.84,4.06
603238,诺邦股份,11.88,11.42,4.06
600388,龙净环保,15.51,14.91,4.05
603214,爱婴室,13.05,12.54,4.05
603387,基蛋生物,8.27,7.95,4.05
002333,罗普斯金,4.95,4.76,4.04
002753,永东股份,6.04,5.81,4.03
002768,国恩股份,54.6,52.48,4.03
600645,中源协和,18.55,17.83,4.03
600997,开滦股份,5.16,4.96,4.03
603309,维力医疗,12.12,11.65,4.03
603551,奥普科技,9.5,9.13,4.03
603707,健友股份,7.64,7.34,4.03
002402,和而泰,26.86,25.82,4.02
600817,宇通重工,9.31,8.95,4.02
605055,迎丰股份,10.98,10.56,4.02
002681,奋达科技,4.72,4.54,4.01
600615,鑫源智造,9.86,9.48,4.01
600845,宝信软件,18.25,17.55,4.01
603590,康辰药业,31.71,30.49,4.01
603680,今创集团,10.48,10.08,4.01
002275,桂林三金,13.17,12.66,4
603116,红蜻蜓,6.08,5.85,4
603192,汇得科技,18.01,17.32,4
002955,鸿合科技,37.15,35.72,3.99
601890,亚星锚链,8.61,8.28,3.99
603080,新疆火炬,19.86,19.1,3.99
603365,水星家纺,16.98,16.33,3.97
000026,飞亚达,21.89,21.06,3.96
002790,瑞尔特,5.72,5.5,3.96
002693,双成药业,10.22,9.83,3.95
603162,海通发展,9.63,9.26,3.95
601598,中国外运,5.33,5.13,3.94
603289,泰瑞机器,8.5,8.18,3.94
002150,正泰电源,26.9,25.88,3.93
002917,金奥博,11.17,10.75,3.93
002688,金河生物,5.04,4.85,3.92
605086,龙高股份,26.39,25.39,3.92
600694,大商股份,14.15,13.62,3.91
603045,福达合金,75.9,73.04,3.91
002935,天奥电子,23.2,22.33,3.9
002940,昂利康,29.34,28.24,3.9
601881,中国银河,13.44,12.94,3.9
601991,大唐发电,7.67,7.38,3.9
600681,百川能源,3.42,3.29,3.89
600375,汉马科技,3.91,3.76,3.88
600862,中航高科,18.7,18,3.87
002146,荣盛发展,1.13,1.09,3.86
603153,上海建科,13.45,12.95,3.86
603933,睿能科技,23.65,22.77,3.86
002202,金风科技,24.59,23.68,3.85
002529,海源复材,7.28,7.01,3.85
600557,康缘药业,12.72,12.25,3.85
603367,辰欣药业,14.01,13.49,3.85
000755,山西高速,4.54,4.37,3.84
600216,浙江医药,12.29,11.84,3.84
000736,中交发展,3.96,3.81,3.83
